Code,Name,Population,SEIFA score,"Percentage of population in decile 1  (0 - 10% of values)
(most disadvantaged)","Percentage of population in decile 2  (10 - 20% of values)
(most disadvantaged)","Percentage of population in decile 3  (20 - 30% of values)
(most disadvantaged)","Percentage of population in decile 4  (30 - 40% of values)
(most disadvantaged)","Percentage of population in decile 5  (40 - 50% of values)
(most disadvantaged)","Percentage of population in decile 6  (50 - 60% of values)
(most disadvantaged)","Percentage of population in decile 7  (60 - 70% of values)
(most disadvantaged)","Percentage of population in decile 8  (70 - 80% of values)
(most disadvantaged)","Percentage of population in decile 9  (80 - 90% of values)
(most disadvantaged)","Percentage of population in decile 10  (90 - 100% of values)
(most disadvantaged)",Overall decile position
318011465,Ingham Region,6453.00,984.65,5.9%,6.3%,15.8%,10.9%,35.1%,16.3%,9.8%,0.0%,0.0%,0.0%,4
306021149,Kanimbla - Mooroobool,9888.00,984.89,21.7%,0.0%,15.5%,14.9%,0.0%,0.0%,7.2%,3.0%,22.5%,15.2%,4
304041100,Keperra,7084.00,989.33,0.0%,24.3%,25.2%,5.3%,6.2%,4.0%,17.5%,5.7%,11.7%,0.0%,4
308051536,Kin Kora - Sun Valley,3613.00,984.66,0.0%,0.0%,31.1%,24.5%,29.4%,7.2%,7.8%,0.0%,0.0%,0.0%,4
319021507,Kingaroy Region - South,3924.00,984.45,4.6%,12.8%,0.0%,47.5%,11.2%,17.1%,6.9%,0.0%,0.0%,0.0%,4
306051168,Kuranda,4496.00,975.61,7.0%,10.7%,15.5%,7.8%,39.4%,6.5%,13.1%,0.0%,0.0%,0.0%,4
306051169,Malanda - Yungaburra,8478.00,991.72,7.2%,8.0%,11.0%,20.7%,16.0%,8.3%,17.7%,11.2%,0.0%,0.0%,4
316031427,Maroochydore - Kuluin,19163.00,984.45,0.0%,19.2%,13.1%,19.3%,18.8%,13.6%,11.6%,2.6%,1.9%,0.0%,4
307011175,Miles - Wandoan,4064.00,974.92,15.1%,3.6%,17.6%,14.2%,13.9%,26.8%,0.0%,5.9%,3.0%,0.0%,4
315021405,Mount Isa,18342.00,990.51,7.1%,5.9%,12.6%,13.6%,18.3%,12.0%,14.9%,6.0%,6.5%,3.2%,4
311021309,Mount Warren Park,5791.00,973.26,13.3%,5.8%,30.4%,9.9%,6.3%,15.6%,12.5%,6.1%,0.0%,0.0%,4
318021485,Mundingburra,3620.00,990.39,7.2%,0.0%,9.3%,35.2%,8.8%,27.4%,6.4%,0.0%,5.7%,0.0%,4
309061248,Nerang - Mount Nathan,20529.00,980.55,14.8%,3.6%,13.1%,12.1%,15.4%,14.4%,7.4%,6.8%,6.6%,5.8%,4
318021486,Northern Beaches,6358.00,973.74,0.0%,29.6%,2.9%,21.9%,21.1%,16.4%,2.4%,4.5%,1.3%,0.0%,4
315021407,Northern Highlands,3121.00,978.98,0.0%,17.5%,30.2%,9.7%,14.6%,0.0%,15.7%,7.4%,4.9%,0.0%,4
309071257,Pimpama,9167.00,992.61,0.0%,7.5%,0.0%,52.6%,8.8%,18.9%,6.9%,0.0%,5.3%,0.0%,4
307021182,Pittsworth,5722.00,990.90,0.0%,8.3%,19.0%,17.9%,19.4%,20.9%,9.7%,4.8%,0.0%,0.0%,4
312031361,Proserpine,8293.00,981.02,5.7%,12.7%,11.1%,24.7%,15.4%,12.6%,4.0%,7.2%,6.6%,0.0%,4
310031293,Raceview,15176.00,971.74,2.6%,27.4%,21.4%,9.7%,14.6%,6.0%,5.0%,2.0%,2.9%,8.3%,4
308031218,Rockhampton Region - East,3451.00,985.34,0.0%,6.8%,25.3%,21.0%,20.5%,18.1%,8.3%,0.0%,0.0%,0.0%,4
308031219,Rockhampton Region - North,4245.00,986.47,7.9%,0.0%,12.3%,22.4%,25.9%,24.9%,6.5%,0.0%,0.0%,0.0%,4
307011177,Roma Region,5815.00,989.26,9.4%,21.0%,6.3%,0.0%,13.4%,8.4%,27.7%,13.8%,0.0%,0.0%,4
310021282,Rosewood,11806.00,973.81,9.7%,10.2%,15.8%,16.9%,24.0%,13.1%,10.3%,0.0%,0.0%,0.0%,4
318021488,South Townsville - Railway Estate,5211.00,969.77,0.0%,6.4%,40.0%,27.3%,19.4%,6.8%,0.0%,0.0%,0.0%,0.0%,4
307031185,Southern Downs - East,4227.00,980.37,0.0%,17.0%,24.0%,19.3%,0.0%,16.9%,22.7%,0.0%,0.0%,0.0%,4
309091541,Southport - South,17208.00,972.99,3.1%,27.0%,16.8%,12.0%,10.9%,15.3%,5.1%,8.2%,1.8%,0.0%,4
305011111,Spring Hill,6063.00,979.22,9.4%,0.0%,9.0%,31.2%,25.4%,22.1%,2.9%,0.0%,0.0%,0.0%,4
303061079,Sunnybank,8856.00,972.74,0.0%,9.7%,31.3%,35.8%,10.1%,4.2%,3.5%,5.4%,0.0%,0.0%,4
309101270,Surfers Paradise,23689.00,979.22,5.3%,11.0%,18.5%,29.5%,12.7%,4.0%,7.5%,6.3%,0.0%,5.3%,4
316051438,Tewantin,10308.00,979.50,4.4%,10.3%,11.8%,25.5%,37.3%,7.6%,0.0%,0.0%,0.0%,3.1%,4
319051526,Tinana,5476.00,977.23,12.3%,8.3%,10.3%,20.0%,18.3%,9.9%,15.7%,5.2%,0.0%,0.0%,4
307021183,Wambo,17027.00,973.57,10.8%,21.1%,15.1%,8.6%,9.3%,14.8%,3.7%,7.4%,9.3%,0.0%,4
312021358,West Mackay,6160.00,976.71,0.0%,13.3%,32.0%,13.7%,6.2%,29.5%,5.3%,0.0%,0.0%,0.0%,4
313031371,Woodford - D'Aguilar,7850.00,983.88,0.0%,21.6%,0.0%,35.8%,12.5%,26.4%,3.7%,0.0%,0.0%,0.0%,4
306011143,Yorkeys Knob - Machans Beach,6152.00,973.49,5.2%,14.1%,23.8%,14.1%,27.1%,6.5%,9.2%,0.0%,0.0%,0.0%,4
312031359,Airlie - Whitsundays,12928.00,1010.99,0.0%,4.4%,21.3%,9.0%,13.6%,8.3%,22.3%,15.5%,5.6%,0.0%,5
316021417,Aroona - Currimundi,10071.00,1001.60,0.0%,0.0%,18.8%,21.1%,18.0%,26.8%,8.0%,7.3%,0.0%,0.0%,5
308041528,Banana,8553.00,996.84,0.0%,19.9%,10.9%,13.4%,11.7%,5.9%,24.3%,13.9%,0.0%,0.0%,5
308041529,Biloela,5765.00,996.03,9.1%,4.5%,14.5%,15.1%,19.8%,4.1%,0.0%,0.0%,21.7%,11.2%,5
314031391,Bray Park,10246.00,1000.28,0.0%,5.1%,9.3%,15.6%,43.9%,13.8%,12.3%,0.0%,0.0%,0.0%,5
312011338,Broadsound - Nebo,8505.00,992.72,4.5%,1.6%,22.3%,18.2%,17.1%,8.0%,12.8%,11.0%,4.5%,0.0%,5
313041372,Burpengary,14022.00,1000.45,7.1%,8.7%,18.6%,4.7%,4.8%,24.4%,4.0%,9.2%,16.2%,2.3%,5
316061440,Caloundra Hinterland,8537.00,1004.35,0.0%,7.7%,12.5%,18.4%,16.9%,10.7%,10.0%,17.5%,6.3%,0.0%,5
308011191,Central Highlands - West,8137.00,992.99,16.3%,3.0%,5.8%,4.3%,15.9%,7.6%,9.3%,13.3%,19.0%,5.6%,5
311031313,Chambers Flat - Logan Reserve,5057.00,999.10,0.0%,10.7%,4.6%,33.4%,24.4%,4.7%,15.0%,7.2%,0.0%,0.0%,5
301021007,Cleveland,14801.00,1010.75,11.1%,9.7%,7.0%,7.1%,6.6%,12.0%,20.9%,2.3%,10.1%,13.1%,5
308051533,Clinton - New Auckland,13464.00,995.14,2.9%,17.5%,5.1%,9.1%,18.0%,15.6%,21.7%,0.0%,9.9%,0.0%,5
306021146,Earlville - Bayview Heights,8265.00,994.17,21.0%,5.5%,5.5%,12.4%,0.0%,15.1%,0.0%,8.8%,21.3%,10.5%,5
308031208,Frenchville - Mount Archer,9076.00,1008.29,5.1%,0.0%,10.2%,21.6%,27.2%,11.0%,4.1%,0.0%,8.0%,12.8%,5
308051535,Gladstone Hinterland,11747.00,993.90,0.0%,8.5%,14.4%,30.7%,5.0%,19.2%,6.4%,8.0%,7.7%,0.0%,5
307011173,Goondiwindi,6355.00,998.96,3.9%,15.8%,5.0%,24.6%,9.6%,5.4%,17.1%,0.0%,7.3%,11.2%,5
309061247,Highland Park,8368.00,1010.20,0.0%,0.0%,10.5%,21.7%,26.6%,7.3%,14.9%,12.4%,6.5%,0.0%,5
311031316,Hillcrest,8152.00,998.64,0.0%,16.2%,17.0%,27.0%,5.9%,2.8%,4.0%,0.0%,13.7%,13.4%,5
309071254,Jacobs Well - Alberton,3642.00,1011.28,0.0%,0.0%,0.0%,28.7%,38.8%,23.3%,0.0%,0.0%,0.0%,9.2%,5
317011451,Lockyer Valley - West,11362.00,1001.20,4.3%,2.2%,12.3%,22.2%,19.8%,13.2%,8.1%,8.6%,6.8%,2.4%,5
315031412,Longreach,3660.00,998.85,0.0%,0.0%,14.1%,36.5%,19.3%,18.1%,12.1%,0.0%,0.0%,0.0%,5
303031061,Macgregor (Qld),5849.00,998.50,0.0%,0.0%,17.2%,13.5%,48.5%,11.4%,9.5%,0.0%,0.0%,0.0%,5
309081260,Merrimac,7071.00,1004.12,0.0%,9.2%,7.2%,20.3%,17.5%,25.8%,9.4%,0.0%,10.7%,0.0%,5
316021422,Moffat Beach - Battery Hill,7838.00,1002.48,0.0%,0.0%,36.4%,5.0%,5.7%,21.0%,16.1%,8.1%,7.5%,0.0%,5
309091264,Molendinar,6375.00,1005.29,7.4%,0.0%,10.1%,9.2%,15.0%,13.8%,38.3%,6.2%,0.0%,0.0%,5
316081549,Noosa Hinterland,21852.00,1011.79,4.7%,2.0%,7.2%,21.2%,11.3%,16.5%,12.7%,11.1%,12.0%,1.4%,5
308031213,Norman Gardens,10130.00,1005.48,4.8%,10.9%,25.5%,4.7%,4.3%,4.9%,5.5%,2.8%,29.7%,6.9%,5
309021234,Palm Beach,14654.00,1006.26,0.0%,4.8%,20.4%,18.7%,8.3%,16.3%,13.3%,6.3%,11.9%,0.0%,5
312021351,Pioneer Valley,8209.00,996.64,0.0%,10.9%,11.7%,15.9%,29.7%,0.0%,15.7%,16.1%,0.0%,0.0%,5
311031319,Regents Park - Heritage Park,15934.00,1004.18,0.0%,3.6%,9.6%,26.2%,17.2%,26.8%,7.9%,8.7%,0.0%,0.0%,5
303041069,Robertson,5101.00,1007.04,0.0%,0.0%,18.2%,6.7%,26.6%,36.9%,0.0%,7.0%,4.4%,0.0%,5
308031220,Rockhampton Region - West,2916.00,1011.93,0.0%,7.8%,11.5%,7.9%,0.0%,37.3%,35.5%,0.0%,0.0%,0.0%,5
307011176,Roma,6848.00,1000.98,0.0%,13.8%,0.0%,36.5%,10.3%,0.0%,25.0%,8.2%,3.8%,2.3%,5
303061078,Runcorn,14479.00,1004.57,0.0%,4.8%,8.8%,16.1%,42.0%,6.6%,19.0%,0.0%,2.7%,0.0%,5
312021353,Seaforth - Calen,8123.00,994.54,0.0%,10.8%,23.5%,20.1%,3.1%,7.7%,15.0%,14.2%,5.6%,0.0%,5
312021354,Shoal Point - Bucasia,5747.00,1003.49,0.0%,0.0%,24.5%,6.5%,25.2%,6.6%,37.2%,0.0%,0.0%,0.0%,5
316011416,Sippy Downs,10298.00,998.27,0.0%,16.8%,5.5%,10.2%,19.5%,13.5%,21.4%,13.1%,0.0%,0.0%,5
302021032,Stafford,6508.00,1009.39,4.0%,9.9%,7.8%,16.9%,7.5%,5.3%,6.0%,10.7%,31.9%,0.0%,5
303061080,Sunnybank Hills,18085.00,1003.70,5.3%,0.0%,6.2%,19.4%,17.8%,26.9%,16.4%,0.0%,8.0%,0.0%,5
302041045,Taigum - Fitzgibbon,12153.00,1010.25,2.4%,7.4%,6.2%,18.3%,16.9%,14.0%,10.0%,15.3%,1.5%,8.1%,5
308051538,Telina - Toolooa,6142.00,1002.24,9.0%,6.4%,0.0%,9.9%,24.6%,7.3%,8.9%,20.6%,13.2%,0.0%,5
308031222,The Range - Allenstown,8190.00,995.18,11.7%,13.6%,7.6%,11.3%,2.8%,4.8%,19.3%,5.5%,19.5%,3.8%,5
301011005,Thorneside,3761.00,998.16,0.0%,19.1%,9.4%,20.7%,7.0%,12.1%,0.0%,9.9%,10.7%,11.1%,5
318021489,Townsville - South,4296.00,1011.40,0.0%,0.0%,7.7%,43.6%,11.4%,0.0%,8.9%,14.6%,13.8%,0.0%,5
303031065,Upper Mount Gravatt,9396.00,1006.39,0.0%,4.0%,19.6%,18.0%,9.5%,20.6%,9.4%,9.0%,9.8%,0.0%,5
309081262,Varsity Lakes,15183.00,1010.90,4.2%,4.6%,2.8%,10.9%,16.4%,25.3%,18.2%,12.1%,5.5%,0.0%,5
301031021,Wynnum West - Hemmant,14790.00,997.29,4.1%,2.4%,4.2%,16.6%,20.4%,25.8%,17.0%,7.6%,0.0%,1.9%,5
308031223,Yeppoon,18107.00,993.50,11.7%,4.7%,3.3%,19.0%,14.9%,4.3%,24.1%,17.9%,0.0%,0.0%,5
301011001,Alexandra Hills,16345.00,1014.78,0.0%,2.3%,13.5%,12.8%,18.3%,20.7%,16.5%,7.8%,3.7%,4.5%,6
303051072,Algester,8433.00,1017.23,0.0%,3.8%,9.2%,5.5%,18.4%,29.9%,15.7%,17.4%,0.0%,0.0%,6
309031235,Arundel,10246.00,1022.87,0.0%,3.1%,4.8%,21.9%,14.4%,15.3%,15.0%,0.0%,20.8%,4.7%,6
309091263,Ashmore,11910.00,1018.22,0.0%,9.7%,13.5%,2.1%,10.7%,12.2%,16.9%,26.9%,4.0%,3.9%,6
318021469,Belgian Gardens - Pallarenda,3280.00,1015.82,0.0%,0.0%,28.0%,14.4%,11.6%,0.0%,24.9%,0.0%,12.9%,8.4%,6
302031035,Boondall,9217.00,1023.91,0.0%,0.0%,5.9%,6.9%,22.5%,22.3%,22.2%,15.8%,4.4%,0.0%,6
308051531,Boyne Island - Tannum Sands,9901.00,1014.48,0.0%,3.4%,2.9%,26.9%,18.7%,18.7%,2.6%,23.0%,3.8%,0.0%,6
305011105,Brisbane City,10192.00,1025.30,5.9%,1.8%,12.1%,0.0%,6.3%,28.1%,9.5%,9.5%,21.1%,5.7%,6
316021418,Buddina - Minyama,6433.00,1024.18,0.0%,11.2%,4.0%,6.1%,6.0%,25.3%,18.5%,18.0%,4.0%,7.0%,6
316021420,Caloundra - West,20277.00,1014.05,1.4%,6.4%,5.3%,6.2%,19.5%,28.4%,21.9%,1.5%,8.2%,1.2%,6
301011004,Capalaba,17588.00,1013.12,3.3%,11.6%,9.8%,1.5%,14.2%,19.9%,7.0%,19.6%,7.7%,5.5%,6
303011050,Carina Heights,6544.00,1023.41,5.5%,14.7%,0.0%,5.9%,7.4%,8.9%,21.0%,5.1%,15.9%,15.6%,6
312011339,Clermont,3700.00,1016.67,8.7%,0.0%,0.0%,20.5%,9.4%,26.4%,9.9%,0.0%,25.2%,0.0%,6
309071251,Coomera,13305.00,1019.36,0.0%,8.6%,13.6%,17.5%,12.6%,6.5%,12.6%,0.0%,12.7%,15.9%,6
319041517,Craignish - Dundowran Beach,4813.00,1014.74,0.0%,0.0%,8.7%,8.8%,34.3%,28.2%,13.7%,6.2%,0.0%,0.0%,6
309021231,Currumbin - Tugun,11316.00,1013.62,0.0%,0.0%,7.6%,22.7%,14.5%,33.2%,7.8%,9.2%,2.8%,2.3%,6
309021232,Currumbin Waters,9121.00,1013.29,6.9%,4.1%,7.5%,7.7%,4.1%,26.1%,12.0%,22.4%,5.7%,3.4%,6
318021473,Deeragun,22401.00,1019.54,1.6%,7.9%,6.1%,6.2%,10.3%,21.2%,16.0%,9.9%,15.9%,5.0%,6
312021344,Eimeo - Rural View,12326.00,1023.74,0.0%,0.0%,16.3%,7.3%,6.9%,18.1%,23.2%,17.1%,7.7%,3.5%,6
308011192,Emerald,13532.00,1023.90,0.0%,4.9%,12.5%,7.4%,14.2%,12.7%,8.3%,23.1%,10.4%,6.5%,6
316071547,Eumundi - Yandina,10548.00,1019.74,0.0%,11.5%,4.6%,4.1%,5.7%,29.8%,27.2%,4.1%,13.0%,0.0%,6
310011273,Forest Lake - Doolandella,27709.00,1019.74,0.0%,1.2%,5.0%,18.1%,15.5%,21.9%,26.5%,6.6%,3.4%,1.8%,6
316061441,Glass House Mountains,5838.00,1013.61,0.0%,0.0%,5.6%,18.3%,20.4%,37.9%,11.6%,6.3%,0.0%,0.0%,6
316021421,Golden Beach - Pelican Waters,11854.00,1021.65,0.0%,3.1%,18.8%,12.5%,11.4%,8.8%,5.6%,16.7%,7.5%,15.6%,6
305011107,Highgate Hill,6329.00,1025.29,6.0%,0.0%,6.8%,7.3%,16.9%,12.5%,17.7%,7.6%,12.2%,12.9%,6
311041321,Jimboomba,25744.00,1022.59,0.0%,1.3%,1.9%,0.9%,38.1%,20.1%,22.2%,8.1%,7.4%,0.0%,6
305031126,Kelvin Grove - Herston,10081.00,1013.27,3.9%,10.9%,8.4%,9.0%,0.0%,21.1%,20.7%,7.1%,10.0%,8.8%,6
318021482,Kirwan - West,15554.00,1024.47,0.0%,0.0%,7.3%,9.6%,24.3%,23.5%,13.9%,12.5%,6.2%,2.6%,6
316061442,Landsborough,10142.00,1014.27,2.6%,0.0%,14.5%,11.9%,22.0%,18.8%,9.5%,12.4%,6.1%,2.3%,6
311051325,Loganholme - Tanah Merah,11130.00,1023.68,0.0%,0.0%,6.0%,8.4%,21.2%,23.0%,19.0%,20.6%,1.8%,0.0%,6
316031426,Marcoola - Mudjimba,10868.00,1016.69,0.0%,4.4%,15.1%,16.7%,9.2%,14.0%,4.2%,14.6%,12.3%,9.5%,6
316061443,Maroochy Hinterland,6252.00,1014.18,0.0%,3.6%,0.0%,21.5%,26.2%,26.0%,5.4%,9.2%,8.1%,0.0%,6
309011228,Mermaid Waters,12170.00,1024.16,0.0%,10.5%,11.5%,3.7%,8.0%,4.0%,19.9%,26.4%,12.7%,3.3%,6
316031428,Mooloolaba - Alexandra Headland,11694.00,1018.13,2.3%,2.6%,0.0%,17.2%,20.7%,23.1%,15.8%,8.9%,9.4%,0.0%,6
306021153,Mount Sheridan,8271.00,1024.80,0.0%,13.5%,0.0%,12.3%,5.4%,17.4%,19.9%,14.9%,16.5%,0.0%,6
316051435,Noosaville,8735.00,1025.06,0.0%,0.0%,15.3%,22.8%,0.0%,25.0%,10.9%,3.7%,12.4%,9.9%,6
306041165,Port Douglas,5260.00,1016.93,0.0%,0.0%,0.0%,41.0%,11.9%,13.3%,13.1%,20.7%,0.0%,0.0%,6
313051542,Scarborough - Newport - Moreton Island,12226.00,1020.40,0.0%,8.8%,7.9%,18.3%,9.5%,13.6%,6.7%,16.9%,2.4%,15.9%,6
301021013,Victoria Point,15020.00,1023.20,0.0%,2.8%,1.9%,18.4%,22.0%,11.4%,9.5%,19.9%,14.1%,0.0%,6
306021156,Whitfield - Edge Hill,8192.00,1018.23,8.4%,4.1%,14.9%,4.5%,10.4%,12.6%,0.0%,10.0%,16.4%,18.8%,6
303021058,Woolloongabba,5529.00,1019.86,7.9%,0.0%,14.8%,0.0%,7.9%,9.9%,28.6%,30.9%,0.0%,0.0%,6
301031020,Wynnum,13233.00,1015.93,0.0%,9.0%,15.4%,4.3%,13.9%,14.8%,8.6%,17.2%,12.4%,4.2%,6
303021052,Annerley,11385.00,1036.73,0.0%,0.0%,3.3%,10.6%,19.7%,19.6%,12.1%,15.1%,10.2%,9.4%,7
302011022,Bald Hills,7275.00,1038.56,0.0%,0.0%,0.0%,0.0%,19.4%,34.4%,31.5%,0.0%,8.4%,6.4%,7
316071545,Bli Bli,8351.00,1026.84,0.0%,7.1%,4.2%,14.2%,10.3%,11.5%,15.0%,18.8%,16.1%,2.9%,7
302041041,Bracken Ridge,16936.00,1035.01,2.2%,0.0%,6.0%,5.7%,8.3%,18.5%,18.5%,21.8%,18.9%,0.0%,7
302041042,Brighton (Qld),9479.00,1033.48,2.2%,0.0%,0.0%,3.7%,17.2%,14.2%,25.9%,29.6%,7.1%,0.0%,7
309011225,Burleigh Heads,8770.00,1028.32,0.0%,4.1%,2.3%,13.5%,25.5%,8.0%,6.2%,18.3%,22.2%,0.0%,7
309011226,Burleigh Waters,14156.00,1036.48,0.0%,3.3%,7.0%,6.7%,11.6%,10.1%,9.2%,24.7%,27.3%,0.0%,7
309061246,Carrara,12189.00,1026.43,4.9%,0.0%,11.3%,4.1%,9.6%,6.4%,17.7%,38.0%,8.0%,0.0%,7
306011139,Clifton Beach - Kewarra Beach,10830.00,1038.50,0.0%,5.5%,0.0%,8.0%,12.0%,9.4%,28.6%,24.9%,0.0%,11.6%,7
316031425,Coolum Beach,14589.00,1025.88,0.0%,5.0%,3.2%,8.6%,18.3%,23.2%,13.7%,14.1%,12.9%,1.1%,7
309021233,Elanora,12145.00,1030.69,0.0%,5.4%,3.6%,12.5%,7.1%,9.1%,29.4%,10.4%,16.9%,5.6%,7
313021367,Elimbah,3963.00,1031.39,0.0%,0.0%,0.0%,0.0%,33.2%,27.7%,20.2%,18.9%,0.0%,0.0%,7
303021054,Fairfield - Dutton Park,4790.00,1035.90,9.2%,0.0%,0.0%,0.0%,11.9%,13.1%,18.9%,24.8%,8.1%,14.0%,7
305011106,Fortitude Valley,7146.00,1037.54,0.0%,6.3%,7.4%,8.2%,0.0%,19.7%,7.4%,34.0%,0.0%,17.0%,7
309041241,Guanaba - Springbrook,4238.00,1031.35,0.0%,0.0%,6.5%,7.6%,8.4%,28.2%,25.7%,0.0%,23.5%,0.0%,7
303021056,Holland Park,8305.00,1037.32,11.5%,11.3%,2.7%,6.2%,0.0%,3.4%,0.0%,0.0%,27.5%,37.5%,7
303061077,Kuraby,8378.00,1034.47,0.0%,5.8%,6.6%,3.6%,12.5%,17.6%,6.6%,8.7%,38.7%,0.0%,7
311041322,Logan Village,6994.00,1037.44,0.0%,0.0%,0.0%,8.2%,9.0%,26.3%,35.5%,15.5%,5.5%,0.0%,7
309011227,Mermaid Beach - Broadbeach,11921.00,1030.06,0.0%,0.0%,0.0%,13.1%,13.4%,32.5%,12.9%,20.3%,7.9%,0.0%,7
309011229,Miami,6843.00,1029.76,0.0%,0.0%,10.8%,11.5%,0.0%,33.7%,11.6%,14.5%,17.9%,0.0%,7
303041068,Moorooka,10422.00,1032.05,0.0%,0.0%,17.5%,12.3%,9.2%,4.8%,10.5%,10.1%,28.9%,6.8%,7
303031063,Mount Gravatt,14944.00,1031.34,9.1%,5.8%,3.1%,2.2%,0.0%,9.7%,12.4%,20.3%,26.4%,10.8%,7
318021484,Mount Louisa,9260.00,1036.19,0.0%,0.0%,13.5%,7.3%,12.6%,23.9%,4.5%,3.1%,26.2%,8.9%,7
